index,Casillas,Turnos,Resultado
0,"G1, H2, G3, H4",3,PERDEDOR
1,"E1, F2, G3, F4, G3, H2",5,PERDEDOR
2,"E1, F2, G3, H4, G5, H6, G7, H8",6,GANADOR
3,"A1, B2, C3, D4, E5, F6, G7, H8",6,GANADOR
4,"G1, H2, G3, F4, G3, H2",5,PERDEDOR
5,"C1, D2, E3, F4, E3, F4, G5, H6, G7",7,GANADOR
6,"E1, D2, E3, D4, E5, D4, C3",6,PERDEDOR
7,"E1, F2, G3, F4, E3, F2, G3, H4, G5",7,GANADOR
8,"A1, B2, C3, D4, E5, F6, G7, H8",6,GANADOR
9,"G1, F2, G3, F4, G5, H6, G7, H8",6,GANADOR
10,"E1, D2, E3, D4, C3, B4",5,PERDEDOR
11,"E1, D2, E3, F4, G3, H4, G5, H6, G7",7,GANADOR
12,"C1, D2, E3, F4, G5, H6, G7, F8",6,GANADOR
13,"A1, B2, C3, D4, C5",4,PERDEDOR
14,"E1, F2, G3, F4, E3, F4, E3",6,PERDEDOR
15,"C1, D2, E3, F4, E5, F6, E7, D8",6,GANADOR
16,"G1, H2, G3, H4",3,PERDEDOR
17,"G1, F2, G3, H4",3,PERDEDOR
18,"G1, F2, E3, D4, E5, D6, E7, F8",6,GANADOR
19,"G1, F2, E3, D4, C3, D2, E3, F4, E5",7,GANADOR
20,"G1, F2, E3, D4, E5",4,PERDEDOR
21,"E1, D2, C3, B4, C3, d2, E3",6,PERDEDOR
22,"A1, B2, A3, B4, C3, D4, E5, F6, E7, D8",8,GANADOR
23,"C1, D2, E3, F4, G3, H4, G5, H6, G7",7,GANADOR
24,"C1, B2, C3, B4, C3, D4, E3, D2, E3, F4, G5, H6, G7, H8",12,GANADOR
25,"A1, B2, C3, D4, E3, F2, G3, H4, G5, H6, G7, F8",10,GANADOR
26,"C1, D2, E3, F4, E5, F6, E7, D8",6,GANADOR
27,"E1, D2, E3, F4, E5, D6, C5, D4, E3, F4, G5, F6, G7, H8",12,GANADOR
28,"G1, F2, E3, D4, E5, D6, C5, B6, C7, B8",8,GANADOR
29,"A1, B2, C3, D4, E5, F6, G7, H8",6,GANADOR
30,"A1, B2, C3, D4, C5",4,PERDEDOR
31,"C1, D2, C3, B4, A5, B6, C7, D8",6,GANADOR
